EDULIT_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
CR_1,"Completion rate, primary education, both sexes (%)",GIN,Guinea,2012,2012,42.22287,,
CR_1,"Completion rate, primary education, both sexes (%)",GIN,Guinea,2016,2016,53.74833,,
CR_1,"Completion rate, primary education, both sexes (%)",GUY,Guyana,2014,2014,97.5321,,
CR_1,"Completion rate, primary education, both sexes (%)",HTI,Haiti,2012,2012,44.05852,,
CR_1,"Completion rate, primary education, both sexes (%)",HTI,Haiti,2017,2017,53.13746,,
CR_1,"Completion rate, primary education, both sexes (%)",KEN,Kenya,2014,2014,84.14092,,
CR_1,"Completion rate, primary education, both sexes (%)",MWI,Malawi,2016,2016,46.74749,,
CR_1,"Completion rate, primary education, both sexes (%)",MLI,Mali,2013,2013,42.02967,,
CR_1,"Completion rate, primary education, both sexes (%)",MLI,Mali,2015,2015,48.07611,,
CR_1,"Completion rate, primary education, both sexes (%)",MRT,Mauritania,2015,2015,53.04638,,
CR_1,"Completion rate, primary education, both sexes (%)",NER,Niger,2012,2012,28.34748,,
CR_1,"Completion rate, primary education, both sexes (%)",NGA,Nigeria,2013,2013,68.37667,,
CR_1,"Completion rate, primary education, both sexes (%)",NGA,Nigeria,2016,2016,77.06482,,
CR_1,"Completion rate, primary education, both sexes (%)",PSE,Palestine,2014,2014,99.11888,,
CR_1,"Completion rate, primary education, both sexes (%)",PAK,Pakistan,2012,2012,60.90289,,
CR_1,"Completion rate, primary education, both sexes (%)",PER,Peru,2012,2012,95.36,,
CR_1,"Completion rate, primary education, both sexes (%)",PER,Peru,2013,2013,95.58,,
CR_1,"Completion rate, primary education, both sexes (%)",PER,Peru,2014,2014,95.73,,
CR_1,"Completion rate, primary education, both sexes (%)",PER,Peru,2015,2015,96.51,,
CR_1,"Completion rate, primary education, both sexes (%)",PER,Peru,2016,2016,96.06,,
CR_1,"Completion rate, primary education, both sexes (%)",PHL,Philippines,2018,2018,91.87399,,
CR_1,"Completion rate, primary education, both sexes (%)",RWA,Rwanda,2015,2015,54.27251,,
CR_1,"Completion rate, primary education, both sexes (%)",SEN,Senegal,2016,2016,43.07786,,
CR_1,"Completion rate, primary education, both sexes (%)",SEN,Senegal,2017,2017,50.06841,,
CR_1,"Completion rate, primary education, both sexes (%)",SLE,Sierra Leone,2013,2013,66.62422,,
CR_1,"Completion rate, primary education, both sexes (%)",SLE,Sierra Leone,2017,2017,64.08057,,
CR_1,"Completion rate, primary education, both sexes (%)",SWZ,Eswatini,2014,2014,70.2268,,
CR_1,"Completion rate, primary education, both sexes (%)",TJK,Tajikistan,2012,2012,98.13482,,
CR_1,"Completion rate, primary education, both sexes (%)",TJK,Tajikistan,2017,2017,98.86272,,
CR_1,"Completion rate, primary education, both sexes (%)",TZA,United Republic of Tanzania,2015,2015,79.53711,,
CR_1,"Completion rate, primary education, both sexes (%)",UGA,Uganda,2016,2016,43.61862,,
CR_1,"Completion rate, primary education, both sexes (%)",UKR,Ukraine,2013,2013,99.58049,,
CR_1,"Completion rate, primary education, both sexes (%)",URY,Uruguay,2012,2012,96.95,,
CR_1,"Completion rate, primary education, both sexes (%)",URY,Uruguay,2013,2013,96.99595,,
CR_1,"Completion rate, primary education, both sexes (%)",URY,Uruguay,2014,2014,97.3,,
CR_1,"Completion rate, primary education, both sexes (%)",URY,Uruguay,2015,2015,97.28,,
CR_1,"Completion rate, primary education, both sexes (%)",URY,Uruguay,2016,2016,97.94,,
CR_1,"Completion rate, primary education, both sexes (%)",VNM,Viet Nam,2014,2014,96.57267,,
CR_1,"Completion rate, primary education, both sexes (%)",YEM,Yemen,2013,2013,62.33444,,
CR_1,"Completion rate, primary education, both sexes (%)",ZMB,Zambia,2013,2013,74.97741,,
CR_1,"Completion rate, primary education, both sexes (%)",ZWE,Zimbabwe,2015,2015,88.2131,,
CR_1,"Completion rate, primary education, both sexes (%)",MNE,Montenegro,2013,2013,99.90369,,
CR_1_F,"Completion rate, primary education, female (%)",AFG,Afghanistan,2015,2015,40.35416,,
CR_1_F,"Completion rate, primary education, female (%)",BGD,Bangladesh,2014,2014,84.44126,,
CR_1_F,"Completion rate, primary education, female (%)",BRB,Barbados,2012,2012,99.46783,,
CR_1_F,"Completion rate, primary education, female (%)",BLR,Belarus,2012,2012,99.52951,,
CR_1_F,"Completion rate, primary education, female (%)",BLZ,Belize,2016,2016,96.7332,,
CR_1_F,"Completion rate, primary education, female (%)",BOL,Bolivia (Plurinational State of),2012,2012,92.13,,
CR_1_F,"Completion rate, primary education, female (%)",BOL,Bolivia (Plurinational State of),2013,2013,95.73,,
CR_1_F,"Completion rate, primary education, female (%)",BOL,Bolivia (Plurinational State of),2014,2014,92.79,,
CR_1_F,"Completion rate, primary education, female (%)",BOL,Bolivia (Plurinational State of),2015,2015,97.48,,
CR_1_F,"Completion rate, primary education, female (%)",KHM,Cambodia,2014,2014,77.21745,,
CR_1_F,"Completion rate, primary education, female (%)",CMR,Cameroon,2014,2014,72.50016,,
CR_1_F,"Completion rate, primary education, female (%)",TCD,Chad,2014,2014,23.72016,,
CR_1_F,"Completion rate, primary education, female (%)",COL,Colombia,2012,2012,93.43,,
CR_1_F,"Completion rate, primary education, female (%)",COL,Colombia,2013,2013,93.7,,
CR_1_F,"Completion rate, primary education, female (%)",COL,Colombia,2014,2014,94.54,,
CR_1_F,"Completion rate, primary education, female (%)",COL,Colombia,2015,2015,94.09967,,
CR_1_F,"Completion rate, primary education, female (%)",COL,Colombia,2016,2016,94.73,,
CR_1_F,"Completion rate, primary education, female (%)",CIV,C̫te d'Ivoire,2012,2012,38.29481,,
CR_1_F,"Completion rate, primary education, female (%)",CIV,C̫te d'Ivoire,2016,2016,53.15378,,
CR_1_F,"Completion rate, primary education, female (%)",DOM,Dominican Republic,2012,2012,93.16,,
CR_1_F,"Completion rate, primary education, female (%)",DOM,Dominican Republic,2013,2013,93.43502,,
CR_1_F,"Completion rate, primary education, female (%)",DOM,Dominican Republic,2014,2014,94.70614,,
CR_1_F,"Completion rate, primary education, female (%)",DOM,Dominican Republic,2015,2015,90.48,,
CR_1_F,"Completion rate, primary education, female (%)",DOM,Dominican Republic,2016,2016,91.57,,
CR_1_F,"Completion rate, primary education, female (%)",EGY,Egypt,2014,2014,91.53024,,
CR_1_F,"Completion rate, primary education, female (%)",ETH,Ethiopia,2016,2016,47.85354,,
CR_1_F,"Completion rate, primary education, female (%)",GHA,Ghana,2015,2015,68.21615,,
CR_1_F,"Completion rate, primary education, female (%)",GIN,Guinea,2012,2012,35.5777,,
CR_1_F,"Completion rate, primary education, female (%)",GIN,Guinea,2016,2016,49.16801,,
CR_1_F,"Completion rate, primary education, female (%)",GUY,Guyana,2014,2014,99.05898,,
CR_1_F,"Completion rate, primary education, female (%)",HTI,Haiti,2012,2012,48.65705,,
CR_1_F,"Completion rate, primary education, female (%)",HTI,Haiti,2017,2017,57.85109,,
CR_1_F,"Completion rate, primary education, female (%)",HND,Honduras,2012,2012,85.62,,
CR_1_F,"Completion rate, primary education, female (%)",HND,Honduras,2013,2013,84.87,,
CR_1_F,"Completion rate, primary education, female (%)",HND,Honduras,2014,2014,83.74,,
CR_1_F,"Completion rate, primary education, female (%)",HND,Honduras,2015,2015,87.29,,
CR_1_F,"Completion rate, primary education, female (%)",HND,Honduras,2016,2016,86.48,,
CR_1_F,"Completion rate, primary education, female (%)",MRT,Mauritania,2015,2015,49.27854,,
CR_1_F,"Completion rate, primary education, female (%)",MDA,Republic of Moldova,2012,2012,99.47757,,
CR_1_F,"Completion rate, primary education, female (%)",NAM,Namibia,2013,2013,87.89175,,
CR_1_F,"Completion rate, primary education, female (%)",NGA,Nigeria,2013,2013,65.90945,,
CR_1_F,"Completion rate, primary education, female (%)",NGA,Nigeria,2016,2016,76.06116,,
CR_1_F,"Completion rate, primary education, female (%)",PAK,Pakistan,2012,2012,58.40607,,
CR_1_F,"Completion rate, primary education, female (%)",PHL,Philippines,2018,2018,95.1898,,
CR_1_F,"Completion rate, primary education, female (%)",LCA,Saint Lucia,2012,2012,99.59647,,
CR_1_F,"Completion rate, primary education, female (%)",SLE,Sierra Leone,2013,2013,68.33899,,
CR_1_F,"Completion rate, primary education, female (%)",SLE,Sierra Leone,2017,2017,64.90782,,
CR_1_F,"Completion rate, primary education, female (%)",ZAF,South Africa,2016,2016,96.29149,,
CR_1_F,"Completion rate, primary education, female (%)",SWZ,Eswatini,2014,2014,76.72132,,
CR_1_F,"Completion rate, primary education, female (%)",THA,Thailand,2013,2013,99.25217,,
CR_1_F,"Completion rate, primary education, female (%)",THA,Thailand,2016,2016,97.86474,,
CR_1_F,"Completion rate, primary education, female (%)",TKM,Turkmenistan,2016,2016,99.71339,,
CR_1_F,"Completion rate, primary education, female (%)",UGA,Uganda,2016,2016,45.27262,,
CR_1_F,"Completion rate, primary education, female (%)",VEN,Venezuela (Bolivarian Republic of),2012,2012,95.53,,
CR_1_F,"Completion rate, primary education, female (%)",VEN,Venezuela (Bolivarian Republic of),2013,2013,95.89,,
CR_1_F,"Completion rate, primary education, female (%)",VEN,Venezuela (Bolivarian Republic of),2014,2014,95.27,,
CR_1_F,"Completion rate, primary education, female (%)",ZMB,Zambia,2013,2013,76.04823,,
CR_1_F,"Completion rate, primary education, female (%)",ZWE,Zimbabwe,2015,2015,89.41843,,
CR_1_M,"Completion rate, primary education, male (%)",BGD,Bangladesh,2014,2014,75.05403,,
CR_1_M,"Completion rate, primary education, male (%)",BLR,Belarus,2012,2012,100,,
CR_1_M,"Completion rate, primary education, male (%)",BEN,Benin,2014,2014,58.73172,,
CR_1_M,"Completion rate, primary education, male (%)",BRA,Brazil,2012,2012,77.34,,
CR_1_M,"Completion rate, primary education, male (%)",BRA,Brazil,2013,2013,76.62,,
CR_1_M,"Completion rate, primary education, male (%)",BRA,Brazil,2014,2014,79.68,,
CR_1_M,"Completion rate, primary education, male (%)",BRA,Brazil,2015,2015,80.31,,
CR_1_M,"Completion rate, primary education, male (%)",BRA,Brazil,2016,2016,83.5,,
CR_1_M,"Completion rate, primary education, male (%)",KHM,Cambodia,2014,2014,67.72973,,
CR_1_M,"Completion rate, primary education, male (%)",CMR,Cameroon,2014,2014,74.84718,,
CR_1_M,"Completion rate, primary education, male (%)",COG,Congo,2012,2012,76.29745,,
CR_1_M,"Completion rate, primary education, male (%)",COG,Congo,2015,2015,78.424,,
CR_1_M,"Completion rate, primary education, male (%)",DOM,Dominican Republic,2012,2012,83.45,,
CR_1_M,"Completion rate, primary education, male (%)",DOM,Dominican Republic,2013,2013,85.2852,,
CR_1_M,"Completion rate, primary education, male (%)",DOM,Dominican Republic,2014,2014,88.34187,,
CR_1_M,"Completion rate, primary education, male (%)",DOM,Dominican Republic,2015,2015,88.65,,
CR_1_M,"Completion rate, primary education, male (%)",DOM,Dominican Republic,2016,2016,87.87,,
CR_1_M,"Completion rate, primary education, male (%)",SLV,El Salvador,2012,2012,83.87,,
CR_1_M,"Completion rate, primary education, male (%)",SLV,El Salvador,2013,2013,86.86,,
CR_1_M,"Completion rate, primary education, male (%)",SLV,El Salvador,2014,2014,86.52,,
CR_1_M,"Completion rate, primary education, male (%)",SLV,El Salvador,2015,2015,86.26,,
CR_1_M,"Completion rate, primary education, male (%)",SLV,El Salvador,2016,2016,85.9,,
CR_1_M,"Completion rate, primary education, male (%)",GAB,Gabon,2012,2012,66.46164,,
CR_1_M,"Completion rate, primary education, male (%)",GMB,Gambia,2013,2013,63.98253,,
CR_1_M,"Completion rate, primary education, male (%)",GIN,Guinea,2012,2012,49.37862,,
CR_1_M,"Completion rate, primary education, male (%)",GIN,Guinea,2016,2016,57.74249,,
CR_1_M,"Completion rate, primary education, male (%)",HTI,Haiti,2012,2012,39.11507,,
CR_1_M,"Completion rate, primary education, male (%)",HTI,Haiti,2017,2017,48.40806,,
CR_1_M,"Completion rate, primary education, male (%)",HND,Honduras,2012,2012,78.57,,
CR_1_M,"Completion rate, primary education, male (%)",HND,Honduras,2013,2013,80.2,,
CR_1_M,"Completion rate, primary education, male (%)",HND,Honduras,2014,2014,81.37,,
CR_1_M,"Completion rate, primary education, male (%)",HND,Honduras,2015,2015,82.52,,
CR_1_M,"Completion rate, primary education, male (%)",HND,Honduras,2016,2016,81.98,,
CR_1_M,"Completion rate, primary education, male (%)",KEN,Kenya,2014,2014,81.44463,,
CR_1_M,"Completion rate, primary education, male (%)",LAO,Lao People's Democratic Republic,2012,2012,66.08647,,
CR_1_M,"Completion rate, primary education, male (%)",LSO,Lesotho,2014,2014,52.59899,,
CR_1_M,"Completion rate, primary education, male (%)",LBR,Liberia,2013,2013,36.09733,,
CR_1_M,"Completion rate, primary education, male (%)",MWI,Malawi,2016,2016,42.58511,,
CR_1_M,"Completion rate, primary education, male (%)",MLI,Mali,2013,2013,45.53413,,
CR_1_M,"Completion rate, primary education, male (%)",MLI,Mali,2015,2015,52.16252,,
CR_1_M,"Completion rate, primary education, male (%)",MDA,Republic of Moldova,2012,2012,98.72204,,
CR_1_M,"Completion rate, primary education, male (%)",MNG,Mongolia,2014,2014,97.17731,,
CR_1_M,"Completion rate, primary education, male (%)",NAM,Namibia,2013,2013,77.98355,,
CR_1_M,"Completion rate, primary education, male (%)",NGA,Nigeria,2013,2013,70.94151,,
CR_1_M,"Completion rate, primary education, male (%)",NGA,Nigeria,2016,2016,77.95986,,
CR_1_M,"Completion rate, primary education, male (%)",RWA,Rwanda,2015,2015,47.60269,,
CR_1_M,"Completion rate, primary education, male (%)",STP,Sao Tome and Principe,2014,2014,79.45765,,
CR_1_M,"Completion rate, primary education, male (%)",SEN,Senegal,2016,2016,42.53556,,
CR_1_M,"Completion rate, primary education, male (%)",SEN,Senegal,2017,2017,48.5913,,
CR_1_M,"Completion rate, primary education, male (%)",SLE,Sierra Leone,2013,2013,64.65759,,
CR_1_M,"Completion rate, primary education, male (%)",SLE,Sierra Leone,2017,2017,63.18468,,
CR_1_M,"Completion rate, primary education, male (%)",TZA,United Republic of Tanzania,2015,2015,75.07739,,
CR_1_M,"Completion rate, primary education, male (%)",THA,Thailand,2013,2013,98.09801,,
CR_1_M,"Completion rate, primary education, male (%)",THA,Thailand,2016,2016,98.39079,,
CR_1_M,"Completion rate, primary education, male (%)",TGO,Togo,2014,2014,64.5542,,
CR_1_M,"Completion rate, primary education, male (%)",VNM,Viet Nam,2014,2014,96.17377,,
CR_1_M,"Completion rate, primary education, male (%)",YEM,Yemen,2013,2013,69.76765,,
CR_1_M,"Completion rate, primary education, male (%)",ZMB,Zambia,2013,2013,73.89091,,
CR_1_M,"Completion rate, primary education, male (%)",ZWE,Zimbabwe,2015,2015,87.02327,,
CR_1_M,"Completion rate, primary education, male (%)",MNE,Montenegro,2013,2013,100,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BGD,Bangladesh,2014,2014,62.41156,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BLZ,Belize,2016,2016,91.11642,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BEN,Benin,2014,2014,27.57055,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BRA,Brazil,2012,2012,69.52,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BRA,Brazil,2013,2013,70.07,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BRA,Brazil,2014,2014,74.16,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BRA,Brazil,2015,2015,75.12,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",BRA,Brazil,2016,2016,77.6,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",CRI,Costa Rica,2012,2012,87.17,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",CRI,Costa Rica,2013,2013,89.08,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",CRI,Costa Rica,2014,2014,88.89,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",CRI,Costa Rica,2015,2015,90.96,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",CRI,Costa Rica,2016,2016,90.3,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",COD,Democratic Republic of the Congo,2013,2013,48.81462,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",DOM,Dominican Republic,2012,2012,81.13,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",DOM,Dominican Republic,2013,2013,74.6076,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",DOM,Dominican Republic,2014,2014,77.63372,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",DOM,Dominican Republic,2015,2015,82.68,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",DOM,Dominican Republic,2016,2016,83.48,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",EGY,Egypt,2014,2014,86.95996,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",GAB,Gabon,2012,2012,33.30572,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",GMB,Gambia,2013,2013,48.79016,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",GIN,Guinea,2012,2012,12.28145,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",GIN,Guinea,2016,2016,23.17841,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",GUY,Guyana,2014,2014,94.39895,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",HTI,Haiti,2012,2012,15.41671,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",HTI,Haiti,2017,2017,20.76852,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",KEN,Kenya,2014,2014,63.13889,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",KGZ,Kyrgyzstan,2012,2012,99.91216,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",KGZ,Kyrgyzstan,2014,2014,97.87094,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",LSO,Lesotho,2014,2014,45.01053,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",MLI,Mali,2013,2013,21.34392,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",MLI,Mali,2015,2015,19.41066,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",NPL,Nepal,2014,2014,73.74908,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",NPL,Nepal,2016,2016,81.75453,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",NER,Niger,2012,2012,8.07149,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",NGA,Nigeria,2013,2013,21.15661,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",NGA,Nigeria,2016,2016,35.48734,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",PAK,Pakistan,2012,2012,24.12828,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",RWA,Rwanda,2015,2015,32.09937,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SEN,Senegal,2016,2016,19.15584,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SEN,Senegal,2017,2017,27.89905,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SLE,Sierra Leone,2013,2013,44.21981,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SLE,Sierra Leone,2017,2017,32.59804,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SDN,Sudan,2014,2014,42.69807,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",SWZ,Eswatini,2014,2014,53.0088,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",TZA,United Republic of Tanzania,2015,2015,60.57991,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",TGO,Togo,2014,2014,40.53144,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",TKM,Turkmenistan,2016,2016,100,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",UKR,Ukraine,2013,2013,99.90057,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",URY,Uruguay,2012,2012,94.37,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",URY,Uruguay,2013,2013,92.89243,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",URY,Uruguay,2014,2014,94.79,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",URY,Uruguay,2015,2015,95.46,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",URY,Uruguay,2016,2016,96.47,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",YEM,Yemen,2013,2013,33.60015,,
CR_1_Q1,"Completion rate, primary education, poorest quintile, both sexes (%)",ZWE,Zimbabwe,2015,2015,74.89658,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",ARM,Armenia,2016,2016,98.61719,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CMR,Cameroon,2014,2014,26.57866,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",COG,Congo,2012,2012,36.75649,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",COG,Congo,2015,2015,40.47885,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CRI,Costa Rica,2012,2012,87.85,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CRI,Costa Rica,2013,2013,91.01,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CRI,Costa Rica,2014,2014,89.87,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CRI,Costa Rica,2015,2015,92.01,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CRI,Costa Rica,2016,2016,91.72,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CIV,C̫te d'Ivoire,2012,2012,9.95811,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",CIV,C̫te d'Ivoire,2016,2016,15.81561,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",COD,Democratic Republic of the Congo,2013,2013,41.54848,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",EGY,Egypt,2014,2014,87.27135,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",ETH,Ethiopia,2016,2016,24.78598,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",GUY,Guyana,2014,2014,97.37628,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",HTI,Haiti,2012,2012,19.65573,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",HTI,Haiti,2017,2017,24.4332,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",KEN,Kenya,2014,2014,65.33229,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",MDA,Republic of Moldova,2012,2012,97.08506,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",MNG,Mongolia,2014,2014,96.04977,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",NPL,Nepal,2014,2014,73.81172,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",NPL,Nepal,2016,2016,80.84746,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",NGA,Nigeria,2013,2013,14.09011,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",NGA,Nigeria,2016,2016,30.98967,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",PHL,Philippines,2018,2018,88.61464,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",RWA,Rwanda,2015,2015,38.02995,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",STP,Sao Tome and Principe,2014,2014,73.1862,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",TZA,United Republic of Tanzania,2015,2015,66.93638,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",TGO,Togo,2014,2014,34.04716,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",TKM,Turkmenistan,2016,2016,100,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",UKR,Ukraine,2013,2013,99.79359,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",VNM,Viet Nam,2014,2014,91.44756,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",YEM,Yemen,2013,2013,19.90463,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",ZMB,Zambia,2013,2013,44.8556,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",ZWE,Zimbabwe,2015,2015,76.49597,,
CR_1_Q1_F,"Completion rate, primary education, poorest quintile, female (%)",MNE,Montenegro,2013,2013,98.95214,,
CR_1_Q1_M,"Completion rate, primary education, poorest quintile, male (%)",BLR,Belarus,2012,2012,100,,
CR_1_Q1_M,"Completion rate, primary education, poorest quintile, male (%)",BLZ,Belize,2016,2016,88.30535,,
CR_1_Q1_M,"Completion rate, primary education, poorest quintile, male (%)",BDI,Burundi,2017,2017,24.23959,,
